url,name_status,bride_age,groom_age
http://www.nytimes.com/1985/10/13/style/catherine-howard-weds.html,unclear,,
http://www.nytimes.com/1985/10/13/style/leslie-shaw-minton-becomes-bride-of-salvatore-toscano-in-greenwich.html,taking,,
http://www.nytimes.com/1985/09/29/style/amy-stursberg-weds-philip-gellert-barber.html,keeping,,
http://www.nytimes.com/1985/10/13/style/pamela-congdon-becomes-a-bride.html,unclear,,
http://www.nytimes.com/1985/12/15/style/rita-jenkins-weds-john-sheldon-clark.html,taking,,
http://www.nytimes.com/1985/10/13/style/ruth-cobrinik-lawyer-weds.html,taking,,
http://www.nytimes.com/1985/12/22/style/scott-e-herman-weds-kimberly-jane-markel.html,taking,,
http://www.nytimes.com/1985/10/20/style/janice-dooner-weds-thomas-lynch-3d.html,keeping,,
http://www.nytimes.com/1985/11/17/style/jb-huttlinger-jr-weds-karen-cole.html,unclear,,
http://www.nytimes.com/1985/10/20/style/jane-carpenter-becomes-bride.html,taking,,
http://www.nytimes.com/1985/10/13/style/alexandra-garbers-is-wed.html,unclear,,
http://www.nytimes.com/1985/10/06/style/cathleen-halko-and-us-judge-exchange-vows.html,taking,,
http://www.nytimes.com/1985/11/03/style/nini-cushing-has-wedding.html,taking,,
http://www.nytimes.com/1985/10/13/style/susan-garwood-becomes-a-bride.html,unclear,,
http://www.nytimes.com/1985/10/27/style/db-kidd-weds-penley-toffolon.html,keeping,,
http://www.nytimes.com/1985/10/07/style/kimberly-buonato-is-wed-to-david-harold-friedberg.html,taking,,
http://www.nytimes.com/1985/12/29/style/marcie-jacobs-married-to-john-s-pregulman.html,unclear,,
http://www.nytimes.com/1985/10/07/style/patricia-a-tine-wed-to-philippe-c-dordai.html,keeping,,
http://www.nytimes.com/1985/10/07/style/kathleen-lynn-a-reporter-married-to-ben-nathanson.html,keeping,,
http://www.nytimes.com/1985/10/13/style/elizabeth-kisken-a-banker-is-wed.html,keeping,,
http://www.nytimes.com/1985/12/29/style/miss-rubenstein-is-bride-of-stephen-edward-shear.html,taking,,
http://www.nytimes.com/1985/11/17/style/robert-george-sommer-weds-marjorie-a-glaser.html,keeping,,
http://www.nytimes.com/1985/10/20/style/william-i-greenbaum-wed-to-elyse-gellman.html,taking,,
http://www.nytimes.com/1985/12/29/style/adele-debiasi-and-sanford-pelz-educators-wed.html,taking,,
http://www.nytimes.com/1985/11/04/style/anne-bradford-married.html,unclear,,
http://www.nytimes.com/1985/12/29/style/brett-douglas-long-weds-elizabeth-helen-goddard.html,taking,,
http://www.nytimes.com/1985/12/08/style/katherine-biggs-weds.html,unclear,,
http://www.nytimes.com/1985/09/29/style/liza-gennaro-a-dancer-weds-scott-alan-evans.html,unclear,,
http://www.nytimes.com/1985/10/27/style/susan-p-rogers-becomes-a-bride.html,taking,,
http://www.nytimes.com/1985/10/28/style/janet-cohen-is-wed-to-a-fellow-lawyer.html,taking,,
http://www.nytimes.com/1985/11/10/style/lisa-j-heller-is-married-to-harry-mitchell-roth.html,hyphenated,,
http://www.nytimes.com/1985/12/01/style/trudy-coplin-marries.html,unclear,,
http://www.nytimes.com/1985/09/29/style/susan-bird-weds-gary-w-massey.html,taking,,
http://www.nytimes.com/1985/11/10/style/ronald-l-korn-is-wed-to-amy-m-calmenson.html,taking,,
http://www.nytimes.com/1985/10/06/style/gail-lindsey-wed-in-north-caronlina.html,keeping,,
http://www.nytimes.com/1985/10/07/style/deborah-coward-and-alexius-goschl-are-married.html,unclear,,
http://www.nytimes.com/1985/11/17/style/katherint-witkowski-and-robert-j-jacobs-wed.html,taking,,
http://www.nytimes.com/1985/09/29/style/sara-helen-strauss-weds-andrew-ernest-tomback.html,keeping,,
http://www.nytimes.com/1985/11/10/style/patricia-setterberg-marries-john-baity.html,keeping,,
http://www.nytimes.com/1985/12/29/style/miss-sias-bride-of-eric-c-witte.html,taking,,
http://www.nytimes.com/1985/11/10/style/roni-tannenbaum-marries.html,unclear,,
http://www.nytimes.com/1985/10/06/style/aagun-i-fonboe-wed-to-hervey-a-connell.html,taking,,
http://www.nytimes.com/1985/10/20/style/wendy-bartlett-becomes-a-bride.html,unclear,,
http://www.nytimes.com/1985/10/27/style/melissa-hoefer-becomes-bride.html,taking,,
http://www.nytimes.com/1985/11/18/style/advertising-executive-weds-patti-levenson.html,taking,,
http://www.nytimes.com/1985/12/01/style/maura-finneran-becomes-a-bride.html,taking,,
http://www.nytimes.com/1985/12/15/style/jean-d-zielinski-teacher-is-wed-to-bruce-monaco.html,taking,,
http://www.nytimes.com/1985/10/06/style/mary-gillespie-is-married-to-stuart-l-bell-salesman.html,unclear,,
http://www.nytimes.com/1985/09/29/style/isabelle-beekman-marries-a-lawyer.html,unclear,,
http://www.nytimes.com/1985/11/17/style/miss-gilbane-has-wedding.html,taking,,
http://www.nytimes.com/1985/12/22/style/anne-savarese-medical-student-weds-physician.html,keeping,,
http://www.nytimes.com/1985/10/27/style/jean-willard-married-to-john-houston-foss.html,unclear,,
http://www.nytimes.com/1985/10/13/style/dr-m-c-bennett-and-miss-linton-exchange-vows.html,taking,,
http://www.nytimes.com/1985/12/22/style/anne-k-giaever-becomes-a-bride.html,taking,,
http://www.nytimes.com/1985/12/01/style/donna-beth-schlessel-is-wed-to-carl-alan-muller.html,taking,,
http://www.nytimes.com/1985/11/11/style/eta-gershen-wed-to-steven-cohen.html,taking,,
http://www.nytimes.com/1985/11/11/style/amy-s-pater-is-bride-of-robert-m-podhurst.html,taking,,
http://www.nytimes.com/1985/10/13/style/w-v-connors-2d-and-miss-gelats-exchange-vows.html,unclear,,
http://www.nytimes.com/1985/10/20/style/arthur-charrington-3d-wed-to-ardis-borden.html,taking,,
http://www.nytimes.com/1985/12/15/style/gail-lapidus-married-to-laurence-dobosh.html,taking,,
http://www.nytimes.com/1985/12/23/style/nancy-leviine-marries.html,unclear,,
http://www.nytimes.com/1985/10/28/style/julie-sara-hailparn-weds-daniel-p-ginns-executive.html,taking,,
http://www.nytimes.com/1985/10/06/style/anne-moore-is-married-to-harry-mason-dent-3d.html,keeping,,
